,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
857,002641,永高股份,0.3,-42.31,,11.67,,25941.19,15.27,10派0.5,04-22
858,300185,通裕重工,0.13,44.44,,3.41,,12062.59,49.54,,04-22
859,002692,远程电缆,0.39,29.9,,9.51,,12805.01,29.91,10派1.5转12,04-22
860,600138,中青旅,0.41,-22.64,,6.51,,29513.39,-18.86,10派1,04-22
861,601113,华鼎股份,0.15,-225.0,,5.15,,10023.65,-235.47,10派0.5,04-22
862,002529,海源机械,0.01,-30.0,,0.28,,280.62,-13.26,,04-22
863,600983,惠而浦,0.48,-5.88,,8.6,,36672.64,24.9,,04-22
864,002216,三全食品,0.04,-80.0,,1.87,,3490.29,-56.83,10派0.13,04-22
865,002275,桂林三金,0.64,-14.91,,16.36,,37667.28,-15.33,10派5,04-22
866,300276,三丰智能,0.06,-48.75,,3.96,,2304.06,-23.45,10派0.1,04-22
867,603311,金海环境,0.28,-12.5,,11.32,,5175.02,1.68,,04-22
868,002112,三变科技,0.05,-37.5,,2.01,,966.19,-42.18,10派0.1,04-22
869,300489,中飞股份,0.73,-30.83,,8.65,,2906.3,-19.3,10转5送5派1.25,04-22
870,002450,康得新,0.98,-7.23,,25.7,,140945.73,40.55,10派0.9转10,04-22
871,002779,中坚科技,0.74,-13.95,,14.05,,4879.19,-14.45,,04-22
872,002565,上海绿新,0.21,-400.0,,8.47,,14347.58,-381.02,,04-22
873,300108,双龙股份,0.38,22.58,,8.65,,13564.12,139.22,,04-22
874,600186,莲花健康,-0.48,-2228.0,,-147.0,,-50848.7,-2230.28,,04-22
875,002636,金安国纪,0.07,-50.67,,3.97,,5412.06,26.99,,04-22
876,603366,日出东方,0.34,-37.04,,7.5,,26946.01,25.58,,04-22
877,002681,奋达科技,0.48,0.0,,13.53,,29335.67,101.72,10转10派1,04-22
878,002475,立讯精密,0.86,7.5,,21.02,,107850.85,71.18,10派0.9转5,04-22
879,002440,闰土股份,0.96,-42.86,,12.6,,73378.2,-42.97,10派4,04-22
880,002412,汉森制药,0.33,-16.61,,8.39,,9807.74,-16.59,,04-22
